test_id,exam_version,objectives_version,batch_id,domain_id,domain_name,domain_weight_percent,objective_id,objective_text,batch_question_count,cumulative_approved_count,batch_question_ids
NET-009,N10-009,6.0,NET009-BATCH-007,1.0,Networking Concepts,23,1.1,Explain concepts related to the Open Systems Interconnection (OSI) reference model.,1,5,NET009-0000151
NET-009,N10-009,6.0,NET009-BATCH-007,1.0,Networking Concepts,23,1.2,"Compare and contrast networking appliances, applications, and functions.",1,6,NET009-0000152
NET-009,N10-009,6.0,NET009-BATCH-007,1.0,Networking Concepts,23,1.3,Summarize cloud concepts and connectivity options.,0,6,
NET-009,N10-009,6.0,NET009-BATCH-007,1.0,Networking Concepts,23,1.4,"Explain common networking ports, protocols, services, and traffic types.",1,6,NET009-0000153
NET-009,N10-009,6.0,NET009-BATCH-007,1.0,Networking Concepts,23,1.5,Compare and contrast transmission media and transceivers.,1,5,NET009-0000154
NET-009,N10-009,6.0,NET009-BATCH-007,1.0,Networking Concepts,23,1.6,"Compare and contrast network topologies, architectures, and types.",1,4,NET009-0000155
NET-009,N10-009,6.0,NET009-BATCH-007,1.0,Networking Concepts,23,1.7,"Given a scenario, use appropriate IPv4 network addressing.",1,5,NET009-0000156
NET-009,N10-009,6.0,NET009-BATCH-007,1.0,Networking Concepts,23,1.8,Summarize evolving use cases for modern network environments.,1,5,NET009-0000157
NET-009,N10-009,6.0,NET009-BATCH-007,2.0,Network Implementation,20,2.1,Explain characteristics of routing technologies.,2,11,NET009-0000158|NET009-0000159
NET-009,N10-009,6.0,NET009-BATCH-007,2.0,Network Implementation,20,2.2,"Given a scenario, configure switching technologies and features.",2,10,NET009-0000160|NET009-0000161
NET-009,N10-009,6.0,NET009-BATCH-007,2.0,Network Implementation,20,2.3,"Given a scenario, select and configure wireless devices and technologies.",1,8,NET009-0000162
NET-009,N10-009,6.0,NET009-BATCH-007,2.0,Network Implementation,20,2.4,Explain important factors of physical installations.,1,7,NET009-0000163
NET-009,N10-009,6.0,NET009-BATCH-007,3.0,Network Operations,19,3.1,Explain the purpose of organizational processes and procedures.,1,6,NET009-0000164
NET-009,N10-009,6.0,NET009-BATCH-007,3.0,Network Operations,19,3.2,"Given a scenario, use network monitoring technologies.",1,8,NET009-0000165
NET-009,N10-009,6.0,NET009-BATCH-007,3.0,Network Operations,19,3.3,Explain disaster recovery (DR) concepts.,1,6,NET009-0000166
NET-009,N10-009,6.0,NET009-BATCH-007,3.0,Network Operations,19,3.4,"Given a scenario, implement IPv4 and IPv6 network services.",2,8,NET009-0000167|NET009-0000168
NET-009,N10-009,6.0,NET009-BATCH-007,3.0,Network Operations,19,3.5,Compare and contrast network access and management methods.,1,6,NET009-0000169
NET-009,N10-009,6.0,NET009-BATCH-007,4.0,Network Security,14,4.1,Explain the importance of basic network security concepts.,2,9,NET009-0000170|NET009-0000171
NET-009,N10-009,6.0,NET009-BATCH-007,4.0,Network Security,14,4.2,Summarize various types of attacks and their impact to the network.,1,7,NET009-0000172
NET-009,N10-009,6.0,NET009-BATCH-007,4.0,Network Security,14,4.3,"Given a scenario, apply network security features, defense techniques, and solutions.",1,9,NET009-0000173
NET-009,N10-009,6.0,NET009-BATCH-007,5.0,Network Troubleshooting,24,5.1,Explain the troubleshooting methodology.,1,7,NET009-0000174
NET-009,N10-009,6.0,NET009-BATCH-007,5.0,Network Troubleshooting,24,5.2,"Given a scenario, troubleshoot common cabling and physical interface issues.",2,9,NET009-0000175|NET009-0000176
NET-009,N10-009,6.0,NET009-BATCH-007,5.0,Network Troubleshooting,24,5.3,"Given a scenario, troubleshoot common issues with network services.",1,8,NET009-0000177
NET-009,N10-009,6.0,NET009-BATCH-007,5.0,Network Troubleshooting,24,5.4,"Given a scenario, troubleshoot common performance issues.",1,8,NET009-0000178
NET-009,N10-009,6.0,NET009-BATCH-007,5.0,Network Troubleshooting,24,5.5,"Given a scenario, use the appropriate tool or protocol to solve networking issues.",2,11,NET009-0000179|NET009-0000180
