dimension,value,count,percentage,target_exam_weight_percent,notes
domain,1.0 General Security Concepts,3,12.0,12,Allocation selected to make the cumulative 250-question bank match official domain weights exactly.
domain,"2.0 Threats, Vulnerabilities, and Mitigations",5,20.0,22,Allocation selected to make the cumulative 250-question bank match official domain weights exactly.
domain,3.0 Security Architecture,5,20.0,18,Allocation selected to make the cumulative 250-question bank match official domain weights exactly.
domain,4.0 Security Operations,7,28.0,28,Allocation selected to make the cumulative 250-question bank match official domain weights exactly.
domain,5.0 Security Program Management and Oversight,5,20.0,20,Allocation selected to make the cumulative 250-question bank match official domain weights exactly.
objective,1.1 Compare and contrast various types of security controls.,1,4.0,,
objective,1.3 Explain the importance of change management processes and the impact to security.,1,4.0,,
objective,1.4 Explain the importance of using appropriate cryptographic solutions.,1,4.0,,
objective,2.1 Compare and contrast common threat actors and motivations.,1,4.0,,
objective,2.2 Explain common threat vectors and attack surfaces.,1,4.0,,
objective,2.3 Explain various types of vulnerabilities.,1,4.0,,
objective,"2.4 Given a scenario, analyze indicators of malicious activity.",1,4.0,,
objective,2.5 Explain the purpose of mitigation techniques used to secure the enterprise.,1,4.0,,
objective,3.1 Compare and contrast security implications of different architecture models.,1,4.0,,
objective,"3.2 Given a scenario, apply security principles to secure enterprise infrastructure.",2,8.0,,
objective,3.3 Compare and contrast concepts and strategies to protect data.,1,4.0,,
objective,3.4 Explain the importance of resilience and recovery in security architecture.,1,4.0,,
objective,"4.1 Given a scenario, apply common security techniques to computing resources.",1,4.0,,
objective,"4.2 Explain the security implications of proper hardware, software, and data asset management.",1,4.0,,
objective,4.3 Explain various activities associated with vulnerability management.,1,4.0,,
objective,4.4 Explain security alerting and monitoring concepts and tools.,1,4.0,,
objective,"4.5 Given a scenario, modify enterprise capabilities to enhance security.",1,4.0,,
objective,4.8 Explain appropriate incident response activities.,1,4.0,,
objective,"4.9 Given a scenario, use data sources to support an investigation.",1,4.0,,
objective,5.1 Summarize elements of effective security governance.,1,4.0,,
objective,5.2 Explain elements of the risk management process.,1,4.0,,
objective,5.3 Explain the processes associated with third-party risk assessment and management.,1,4.0,,
objective,5.5 Explain types and purposes of audits and assessments.,1,4.0,,
objective,"5.6 Given a scenario, implement security awareness practices.",1,4.0,,
difficulty,easy,5,20.0,,
difficulty,hard,6,24.0,,
difficulty,medium,14,56.0,,
question_type,best_available,9,36.0,,
question_type,multi_select,7,28.0,,
question_type,single_choice,9,36.0,,
question_style,calculation,2,8.0,,
question_style,comparison,9,36.0,,
question_style,scenario,14,56.0,,
stimulus_type,preformatted,7,28.0,,Every Batch 011 question has a stimulus entry.
stimulus_type,table,18,72.0,,Every Batch 011 question has a stimulus entry.
correct_key_inclusion,A,8,25.0,,"Counts every correct key, including multi-select answers."
correct_key_inclusion,B,8,25.0,,"Counts every correct key, including multi-select answers."
correct_key_inclusion,C,8,25.0,,"Counts every correct key, including multi-select answers."
correct_key_inclusion,D,8,25.0,,"Counts every correct key, including multi-select answers."
