question_id,objective_id,topic,difficulty,question_type,stimulus_type,stimulus_variant,stimulus_title,correct_answers
SEC701-0000226,1.1,Detective controls,medium,multi_select,table,,Control evidence,A|B
SEC701-0000227,1.3,Failed change recovery,medium,best_available,table,,Change record CHG-2047,C
SEC701-0000228,1.4,Certificate expiration,easy,single_choice,preformatted,command_output,TLS certificate diagnostic,D
SEC701-0000229,2.1,Malicious insiders,medium,best_available,table,,Investigation summary,A
SEC701-0000230,2.2,Typosquatting,easy,single_choice,preformatted,plain_text,Received email,B
SEC701-0000231,2.3,SQL injection,medium,single_choice,preformatted,log,Web application log,C
SEC701-0000232,2.4,Password spraying indicators,medium,multi_select,table,,Authentication summary,A|C
SEC701-0000233,2.5,DNS egress control,hard,best_available,preformatted,log,DNS and firewall evidence,D
SEC701-0000234,3.1,IaaS shared responsibility,medium,multi_select,table,,Cloud service responsibility summary,A|D
SEC701-0000235,3.2,Administrative access exposure,hard,best_available,table,,Firewall rules for the management subnet,B
SEC701-0000236,3.3,Classification-driven DLP,medium,single_choice,table,,Data protection event,C
SEC701-0000237,3.4,Recovery objective selection,medium,single_choice,table,,Recovery options,D
SEC701-0000238,3.2,Device posture enforcement,medium,best_available,preformatted,log,Conditional access decision,A
SEC701-0000239,4.1,SSH hardening,medium,single_choice,preformatted,configuration,Current SSH server settings,B
SEC701-0000240,4.2,Asset inventory follow-up,easy,multi_select,table,,Asset inventory extract,B|C
SEC701-0000241,4.3,Risk-based vulnerability prioritization,hard,best_available,table,,Vulnerability findings,A
SEC701-0000242,4.4,Impossible travel alerting,medium,single_choice,table,,User sign-in events,C
SEC701-0000243,4.5,Cloud data exfiltration controls,hard,multi_select,table,,Current controls and observed gap,B|D
SEC701-0000244,4.8,OAuth account containment,hard,best_available,preformatted,log,Cloud account incident timeline,B
SEC701-0000245,4.9,Endpoint process trees,easy,single_choice,table,,Available investigation data,D
SEC701-0000246,5.1,Governance document hierarchy,medium,multi_select,table,,Governance documents,C|D
SEC701-0000247,5.2,Control cost and risk reduction,medium,best_available,table,,Risk estimate,C
SEC701-0000248,5.3,Vendor due diligence gaps,medium,multi_select,table,,Vendor due diligence responses,A|B
SEC701-0000249,5.5,Operating effectiveness evidence,hard,best_available,table,,Available audit evidence,D
SEC701-0000250,5.6,Targeted phishing training,easy,single_choice,table,,Phishing simulation results,A
