test_id,exam_version,objectives_version,batch_id,domain_id,domain_name,domain_weight_percent,objective_id,objective_text,batch_question_count,cumulative_approved_count,batch_question_ids
NET-009,N10-009,6.0,NET009-BATCH-002,1.0,Networking Concepts,23,1.1,Explain concepts related to the Open Systems Interconnection (OSI) reference model.,1,2,NET009-0000028
NET-009,N10-009,6.0,NET009-BATCH-002,1.0,Networking Concepts,23,1.2,"Compare and contrast networking appliances, applications, and functions.",0,1,
NET-009,N10-009,6.0,NET009-BATCH-002,1.0,Networking Concepts,23,1.3,Summarize cloud concepts and connectivity options.,0,1,
NET-009,N10-009,6.0,NET009-BATCH-002,1.0,Networking Concepts,23,1.4,"Explain common networking ports, protocols, services, and traffic types.",1,2,NET009-0000029
NET-009,N10-009,6.0,NET009-BATCH-002,1.0,Networking Concepts,23,1.5,Compare and contrast transmission media and transceivers.,0,1,
NET-009,N10-009,6.0,NET009-BATCH-002,1.0,Networking Concepts,23,1.6,"Compare and contrast network topologies, architectures, and types.",1,1,NET009-0000025
NET-009,N10-009,6.0,NET009-BATCH-002,1.0,Networking Concepts,23,1.7,"Given a scenario, use appropriate IPv4 network addressing.",1,2,NET009-0000030
NET-009,N10-009,6.0,NET009-BATCH-002,1.0,Networking Concepts,23,1.8,Summarize evolving use cases for modern network environments.,2,2,NET009-0000026|NET009-0000027
NET-009,N10-009,6.0,NET009-BATCH-002,2.0,Network Implementation,20,2.1,Explain characteristics of routing technologies.,2,3,NET009-0000031|NET009-0000035
NET-009,N10-009,6.0,NET009-BATCH-002,2.0,Network Implementation,20,2.2,"Given a scenario, configure switching technologies and features.",1,3,NET009-0000032
NET-009,N10-009,6.0,NET009-BATCH-002,2.0,Network Implementation,20,2.3,"Given a scenario, select and configure wireless devices and technologies.",1,2,NET009-0000033
NET-009,N10-009,6.0,NET009-BATCH-002,2.0,Network Implementation,20,2.4,Explain important factors of physical installations.,1,2,NET009-0000034
NET-009,N10-009,6.0,NET009-BATCH-002,3.0,Network Operations,19,3.1,Explain the purpose of organizational processes and procedures.,0,1,
NET-009,N10-009,6.0,NET009-BATCH-002,3.0,Network Operations,19,3.2,"Given a scenario, use network monitoring technologies.",1,2,NET009-0000038
NET-009,N10-009,6.0,NET009-BATCH-002,3.0,Network Operations,19,3.3,Explain disaster recovery (DR) concepts.,0,1,
NET-009,N10-009,6.0,NET009-BATCH-002,3.0,Network Operations,19,3.4,"Given a scenario, implement IPv4 and IPv6 network services.",1,2,NET009-0000039
NET-009,N10-009,6.0,NET009-BATCH-002,3.0,Network Operations,19,3.5,Compare and contrast network access and management methods.,2,2,NET009-0000036|NET009-0000037
NET-009,N10-009,6.0,NET009-BATCH-002,4.0,Network Security,14,4.1,Explain the importance of basic network security concepts.,1,2,NET009-0000040
NET-009,N10-009,6.0,NET009-BATCH-002,4.0,Network Security,14,4.2,Summarize various types of attacks and their impact to the network.,1,2,NET009-0000041
NET-009,N10-009,6.0,NET009-BATCH-002,4.0,Network Security,14,4.3,"Given a scenario, apply network security features, defense techniques, and solutions.",1,2,NET009-0000042
NET-009,N10-009,6.0,NET009-BATCH-002,5.0,Network Troubleshooting,24,5.1,Explain the troubleshooting methodology.,1,2,NET009-0000043
NET-009,N10-009,6.0,NET009-BATCH-002,5.0,Network Troubleshooting,24,5.2,"Given a scenario, troubleshoot common cabling and physical interface issues.",2,3,NET009-0000044|NET009-0000048
NET-009,N10-009,6.0,NET009-BATCH-002,5.0,Network Troubleshooting,24,5.3,"Given a scenario, troubleshoot common issues with network services.",1,2,NET009-0000045
NET-009,N10-009,6.0,NET009-BATCH-002,5.0,Network Troubleshooting,24,5.4,"Given a scenario, troubleshoot common performance issues.",1,3,NET009-0000046
NET-009,N10-009,6.0,NET009-BATCH-002,5.0,Network Troubleshooting,24,5.5,"Given a scenario, use the appropriate tool or protocol to solve networking issues.",1,2,NET009-0000047
