dimension,value,count,percentage,target_exam_weight_percent,notes
domain,1.0 General Security Concepts,3,11.5,12,Allocation selected to make the cumulative 200-question bank match the official exam weights exactly.
domain,"2.0 Threats, Vulnerabilities, and Mitigations",6,23.1,22,Allocation selected to make the cumulative 200-question bank match the official exam weights exactly.
domain,3.0 Security Architecture,5,19.2,18,Allocation selected to make the cumulative 200-question bank match the official exam weights exactly.
domain,4.0 Security Operations,7,26.9,28,Allocation selected to make the cumulative 200-question bank match the official exam weights exactly.
domain,5.0 Security Program Management and Oversight,5,19.2,20,Allocation selected to make the cumulative 200-question bank match the official exam weights exactly.
objective,1.1 Compare and contrast various types of security controls.,1,3.8,,
objective,1.2 Summarize fundamental security concepts.,1,3.8,,
objective,1.3 Explain the importance of change management processes and the impact to security.,1,3.8,,
objective,2.1 Compare and contrast common threat actors and motivations.,1,3.8,,
objective,2.2 Explain common threat vectors and attack surfaces.,1,3.8,,
objective,2.3 Explain various types of vulnerabilities.,1,3.8,,
objective,"2.4 Given a scenario, analyze indicators of malicious activity.",1,3.8,,
objective,2.5 Explain the purpose of mitigation techniques used to secure the enterprise.,2,7.7,,
objective,3.1 Compare and contrast security implications of different architecture models.,1,3.8,,
objective,"3.2 Given a scenario, apply security principles to secure enterprise infrastructure.",1,3.8,,
objective,3.3 Compare and contrast concepts and strategies to protect data.,2,7.7,,
objective,3.4 Explain the importance of resilience and recovery in security architecture.,1,3.8,,
objective,"4.1 Given a scenario, apply common security techniques to computing resources.",1,3.8,,
objective,"4.2 Explain the security implications of proper hardware, software, and data asset management.",1,3.8,,
objective,4.4 Explain security alerting and monitoring concepts and tools.,1,3.8,,
objective,"4.5 Given a scenario, modify enterprise capabilities to enhance security.",1,3.8,,
objective,"4.6 Given a scenario, implement and maintain identity and access management.",1,3.8,,
objective,4.7 Explain the importance of automation and orchestration related to secure operations.,1,3.8,,
objective,4.8 Explain appropriate incident response activities.,1,3.8,,
objective,5.1 Summarize elements of effective security governance.,1,3.8,,
objective,5.2 Explain elements of the risk management process.,1,3.8,,
objective,5.3 Explain the processes associated with third-party risk assessment and management.,1,3.8,,
objective,5.4 Summarize elements of effective security compliance.,1,3.8,,
objective,5.5 Explain types and purposes of audits and assessments.,1,3.8,,
topic,Authentication rate limiting,1,3.8,,
topic,Automated identity deprovisioning,1,3.8,,
topic,Automation change control,1,3.8,,
topic,Change freezes,1,3.8,,
topic,Cloud access security brokers,1,3.8,,
topic,Consent and preference management,1,3.8,,
topic,Container image admission control,1,3.8,,
topic,Corrective technical controls,1,3.8,,
topic,Cryptographic erasure,1,3.8,,
topic,Data classification labels,1,3.8,,
topic,Guest wireless isolation,1,3.8,,
topic,Incident detection and analysis,1,3.8,,
topic,Integer overflow,1,3.8,,
topic,Log normalization,1,3.8,,
topic,Open service ports,1,3.8,,
topic,Phishing-resistant authentication,1,3.8,,
topic,Platform as a service responsibility,1,3.8,,
topic,Rootkit indicators,1,3.8,,
topic,Security steering committees,1,3.8,,
topic,Separation of duties,1,3.8,,
topic,Shadow IT,1,3.8,,
topic,Single loss expectancy,1,3.8,,
topic,Snapshots and independent backups,1,3.8,,
topic,Software inventory and authorization,1,3.8,,
topic,Vendor risk tiering,1,3.8,,
topic,White-box penetration testing,1,3.8,,
difficulty,easy,7,26.9,,
difficulty,hard,6,23.1,,
difficulty,medium,13,50.0,,
question_type,single_choice,26,100.0,,
question_style,calculation,1,3.8,,
question_style,comparison,1,3.8,,
question_style,direct,1,3.8,,
question_style,scenario,23,88.5,,
stored_correct_answer,A,6,23.1,,
stored_correct_answer,B,6,23.1,,
stored_correct_answer,C,7,26.9,,
stored_correct_answer,D,7,26.9,,
